timestamp_ms,accel_g,disp,mode
1773194642672,0.0576,0.0,dano_leve
1773194642690,0.0561,0.0,dano_leve
1773194642698,0.0868,0.0,dano_leve
1773194642712,0.0777,0.0,dano_leve
1773194642724,0.072,0.0,dano_leve
1773194642738,0.1161,0.0,dano_leve
1773194642751,0.1686,0.0,dano_leve
1773194642758,0.0526,0.0,dano_leve
1773194642768,0.0095,0.0,dano_leve
1773194642775,0.0139,0.0,dano_leve
1773194642788,-0.0394,0.0,dano_leve
1773194642799,-0.0542,0.0,dano_leve
1773194642811,-0.0896,0.0,dano_leve
1773194642821,-0.0947,0.0,dano_leve
1773194642832,-0.074,0.0,dano_leve
1773194642842,-0.092,0.0,dano_leve
1773194642853,-0.0814,0.0,dano_leve
1773194642865,-0.0438,0.0,dano_leve
1773194642876,-0.0083,0.0,dano_leve
1773194642885,-0.018,0.0,dano_leve
1773194642892,0.0047,0.0,dano_leve
1773194642904,0.0483,0.0,dano_leve
1773194642913,0.0764,0.0,dano_leve
1773194642926,0.0851,0.0,dano_leve
1773194642938,0.0851,0.0,dano_leve
1773194642945,0.1093,0.0,dano_leve
1773194642955,0.1006,0.0,dano_leve
1773194642967,0.0757,0.0,dano_leve
1773194642974,0.0383,0.0,dano_leve
1773194642988,0.0152,0.0,dano_leve
1773194643001,-0.0262,0.0,dano_leve
1773194643009,-0.0514,0.0,dano_leve
1773194643018,-0.0857,0.0,dano_leve
1773194643030,-0.0924,0.0,dano_leve
1773194643039,-0.0681,0.0,dano_leve
1773194643052,-0.101,0.0,dano_leve
1773194643064,-0.0736,0.0,dano_leve
1773194643073,-0.0565,0.0,dano_leve
1773194643083,-0.0288,0.0,dano_leve
1773194643093,0.0083,0.0,dano_leve
1773194643102,-0.0059,0.0,dano_leve
1773194643111,0.0479,0.0,dano_leve
1773194643117,0.0544,0.0,dano_leve
1773194643126,0.1013,0.0,dano_leve
1773194643140,0.0737,0.0,dano_leve
1773194643151,0.0969,0.0,dano_leve
1773194643157,0.0758,0.0,dano_leve
1773194643169,0.0675,0.0,dano_leve
1773194643180,0.0697,0.0,dano_leve
1773194643194,0.0148,0.0,dano_leve
1773194643206,0.0022,0.0,dano_leve
1773194643216,-0.0534,0.0,dano_leve
1773194643230,-0.0586,0.0,dano_leve
1773194643242,-0.1311,0.0,dano_leve
1773194643254,-0.104,0.0,dano_leve
1773194643263,-0.0935,0.0,dano_leve
1773194643271,-0.0951,0.0,dano_leve
1773194643282,-0.0714,0.0,dano_leve
1773194643290,-0.0167,0.0,dano_leve
1773194643304,-0.015,0.0,dano_leve
1773194643315,0.0188,0.0,dano_leve
1773194643324,0.0505,0.0,dano_leve
1773194643336,0.104,0.0,dano_leve
1773194643347,0.0911,0.0,dano_leve
1773194643357,0.0965,0.0,dano_leve
1773194643368,0.0957,0.0,dano_leve
1773194643378,0.073,0.0,dano_leve
1773194643390,0.0458,0.0,dano_leve
